127.0.0.1, 2016-10-06 15:28:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:28:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-10-06 15:29:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062000
127.0.0.1, 2016-10-06 15:29:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.219000
127.0.0.1, 2016-10-06 15:29:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:29:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:30:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-10-06 15:30:17, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 1.361000
127.0.0.1, 2016-10-06 15:30:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:30:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:31:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062000
127.0.0.1, 2016-10-06 15:31:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.250000
127.0.0.1, 2016-10-06 15:31:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:31:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-10-06 15:32:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-10-06 15:32:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.219000
127.0.0.1, 2016-10-06 15:32:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:32:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-10-06 15:33:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081000
127.0.0.1, 2016-10-06 15:33:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.256000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.093000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:33:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:33:33, GET, /admin/default/index, HTTP/1.1, 303, 0.013000
127.0.0.1, 2016-10-06 15:33:33, GET, /admin/default/site, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-10-06 15:33:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:33:35, GET, /Dropshipping/default/index, HTTP/1.1, 200, 0.123000
